319,go on ~ ing,～し続ける
320,day after day,来る日も来る日も
321,learn ~ by heart,暗記する
322,put ~ in prison,投獄する
323,write down,書きとめる
324,in full,全部
325,play a joke on,からかう
326,a sheet of,一枚の
327,stare at,じっと見つめる
328,a pair of,１組の
329,put together,合わせる
330,a bit,ほんのわずかの
331,do harm to,害を与える
332,no ~ whatever,少しも～ない
333,at a glance,すぐに
334,be keen on,熱中している
335,on one`s behalf,～のために
336,make an estimate of,見積もる
337,something like,およそ
338,nothing but,～にすぎない
339,as it were,いわば
340,be content with,満足している
341,every other,～おきに
342,be impressed with,感銘を受ける
343,in the first place,まず
344,in fashion,流行の
345,with ~ in view,～を視野に入れて
346,make ends meet,収支を合わせる
347,stand on one `s own feet,自立する
348,work one's way,苦労して進む
349,live on,暮らす
350,out of the question,問題外の
351,out of work,失業中で
352,no doubt,きっと
353,by birth,生まれつき
354,be poor at,苦手である
355,time after time,何度も
356,get lost,迷う
357,on one`s way,途中で
358,head for,向かう
359,no longer,もはや～ない
360,now and then,時々
361,direct A to B,AにBへの道を教える
362,as usual,いつものように
363,turn back,引き返す
364,in search of,～を探して
365,be short of,不足している
366,kill time,時間をつぶす
367,come about,起こる
368,make an appointment,約束をする
369,fill in,書き込む
370,be based on,基づいている
371,~ as well,同様に
372,fall into,落ちる
373,of one`s own ~ ing,～自身で～した
374,at once,すぐに
375,get on one`s nerves,かんに障る
376,enjoy oneself,楽しく過ごす
377,to one`s heart`s content,心ゆくまで
378,be afraid of,恐れている
379,deal with,対処する
380,well off,裕福な
381,put A in touch with B,AがBと連絡をとれるようにする
382,get married,結婚する
383,in the course of time,やがて
384,turn to,頼る
385,call on,訪ねる
386,on ~ terms,～の関係で
387,work out,うまくいく
388,hear from,便りがある
389,part from,別れる
390,refer to,言及する
391,remind A of B,AにBを思い出させる
392,far from,決して～ではない
393,all the same,それでもやはり
394,reflect on,～についてよく考える
395,for a while,しばらくの間
396,in the name of,～の名のもとに
397,cut down,切り倒す
398,die out,絶滅する
399,turn into,変わる
400,due to,～のために
401,on account of,～のために
402,only too,残念ながら
403,be responsible for,責任がある
404,make an effort,努力する
405,avail oneself of,利用する
406,on a large scale,大規模に
407,interfere with,妨げる
408,doubt if,～かどうか疑問に思う
409,take the trouble to,わざわざ～する
410,within reach,すぐ近くに
411,believe it or not,信じられないかもしれないが本当に
412,dozens of,多数の
413,most of all,とりわけ
414,to one`s taste,～の好みに合って
415,be famous for,有名である
416,take pleasure in,楽しむ
417,A rather than B,BよりもむしろA
418,in comparion with,～と比べて
419,sbstitute A for B,Bの代わりにAを用いる
420,on business,仕事で
421,why don`t you,～したらどうですか
422,drop in,立ち寄る
423,make up,構成する
424,care for,世話をする
425,~ and so forth,～など
426,take in,受け入れる
427,a large number of,非常に多くの
428,be compelled to,せざるを得ない
429,plenty of,多くの
430,make a choice,選択する
431,look after,世話をする
432,in the world,一体全体
433,be in charge of,担当している
434,as for,～に関して
435,amount to,達する
436,put pressure on,圧迫する
437,be in good health,健康である
438,be free from,～がない
439,act on,基づいて行動する
440,as the saying goes,諺にもあるように
441,to the full,十分に
442,take a choice,思い切ってやる
443,in youth,若いころ
444,in the end,結局は
445,in regard to,～に関して
446,point out,指摘する
447,put ~ to use,利用する
448,consist on,～から成る
449,be inclined to,～する傾向がある
450,associate A with B,AでBを連想する
451,all the time,いつも
452,in reality,実際に
453,live up to,基づいて行動する
454,not a few,かなり多数
455,be derived from,由来する
456,rest on,基づく
457,in obedience to,～に従って
458,in plactice,実際に
459,account for,説明する
460,give way,降参する
461,be concerned about,心配している
462,for one thing ~ ; for another ~,一つには～であり、一つには～である
463,take away,奪い去る
464,result in,結果になる
465,figure out,理解する
466,respond to,答える
467,take the initiative in ~ ing,率先して～する
468,do with,扱う
469,be conditiond to,慣れている
470,in particular,とくに
471,have an impact on,影響を与える
472,get used to,慣れる
473,sympathize with,同情する
474,pass through,経験する
475,be sure to,必ず～する
476,be involved in,巻き込まれる
477,result from,生じる
478,look to,目を向ける
479,be willing to,～するのをいとわない
480,find fault with,～のあらを探す
481,speak ill of,悪口を言う
482,what we call,いわゆる
483,in short,要するに
484,as a whole,概して
485,enter into,始める
486,in turn,次に
487,pull up,車を止める
488,get out of,降りる
489,look into,調べる
490,pass by,通り過ぎる
491,at a loss,途方に暮れて
492,in the dark,暗闇で
493,at length,ついに
494,at the sight of,～を見て
495,break down,故障する
496,take a look at,見る
497,as a token of,～の印に
498,for one`s part,自分としては
499,dream of,夢にも～を思う
500,lend ~ a hand,手を貸す
501,same to you,あなたも
502,anything but,決して～ではない
503,take charge of,担当する
504,hand over,渡す
505,rob A of B,AからBを奪う
506,trust A to B,BにAを預ける
507,be worthy of,値する
508,stand out,目立つ
509,put ~ aside,～を取っておく
510,make sure that,～であることを確かめる
511,a man of,～な人
512,draw out,引き出す
513,at a time,一度に
514,a good many,かなり多くの
515,be anxious about,心配している
516,in terms of,～の点から
517,have something to do with,～と何らかの関係がある
518,of late,最近
519,as follows,次の通り
520,lead to,引き起こす
521,from time to time,時々
522,as a rule,概して
523,and yet,しかし
524,go out,消える
525,by degrees,徐々に
526,in panic,あわてふためいて
527,cry for,～を求めて叫ぶ
528,beside oneself,我を忘れて
529,at any moment,今にも
530,jump at,飛びつく
531,fall off,落ちる
532,come to oneself,意識を取り戻す
533,be reluctant to,したがらない
534,fall in love in,恋をする
535,be against,反対する
536,throw oneself into,身を投げる
537,at the back of,～の後ろで
538,be a match for,～と対等である
539,make a difference,重要である
540,identify A with B,AをBと同一視する
541,by contrast,対照的に
542,a small amount of,少量の
543,have an influence on,影響を与える
544,fill up,満たす
545,go on,し続ける
546,go by,経過する
547,fade away,消え失せる
548,push forward,前面に押し出す
549,boast of,自慢する
550,show off,見せびらかす
551,major in,専攻する
552,look down on,軽蔑する
553,separate A from B,AをBと分ける
554,come to an end,終わる
555,persuade O into ~ing,Oに～するよう説得する
556,impose A on B,AをBに課す
557,break out,突然起こる
558,make up one`s mind to,決心をする
559,starve to death,飢え死にする
560,calm down,静まる
561,take part in,参加する
562,on foot,徒歩で
563,along with,～と一緒に
564,by and large,概して
565,from A to Z,何から何まで
566,dedicate oneself to,専念する
567,to the best of one`s knowledge,～の知る限り
568,drop out,脱落する
569,expect A of B,BにAを期待する
570,be independent of,独立している
571,get along,暮らしていく
572,on one`s own,一人で
573,in the face of,直面して
574,check into,入る
575,consent to,同意する
576,on the spot,その場で
577,according to,～によると
578,be anxious for,切望している
579,pass away,亡くなる
580,owing to,～のために
581,be on the books,登録されている
582,recover from,回復する
583,place emphasis on,強調する
584,take ~ into consideration,考慮する
585,talk over,よく話し合う
586,from now on,今後は
587,under way,進行中で
588,in no time,すぐに
589,little by little,徐々に
590,step by step,一歩一歩
591,get at,意味する
592,turn down,拒絶する
593,in the negative,否定的に
594,refrain from,控える
595,react to,反応する
596,agree to,同意する
597,at face value,額面通りに
598,make a point of ~ing,必ず～することにしている
599,on purpose,故意に
600,for the sake of,～のために
601,for fear of ~ing,～しないように
602,a man of few words,口数の少ない人
603,keep one`s word,約束を守る
604,long for,熱望する
605,as is often the case with,～にはよくあることだが
606,leave out,省く
607,in return for,～のお礼に
608,keep on ~ing,し続ける
609,be cut out for,向いている
610,inquire after,見舞う
611,attend to,世話をする
612,turn off,消す
613,set forth,出かける
614,take after,似ている
615,mistake A for B,AをBと間違える
616,on occasion,時々
617,by all means,何としても
618,bring A home to B,BにAを痛感させる
619,get across A,Aをわからせる
620,word for word,一語一語
621,in a word,要するに
622,be dying to,～したくてたまらない
623,for a change,たまには
624,make fun of,からかう
625,in the presense of,～の前で
626,be tired of,うんざりしている
627,live from hand to mouth,その日暮らしをする
628,keep in totch with,連絡を取る
629,in private,個人的に
630,turn up,現れる
631,burst into,～しだす
632,participate in,参加する
633,come up with,思いつく
634,one after another,続々と
635,name ~ A affter B,Bにちなんで～にAと名付ける
636,catch on,流行する
637,turn out to,～することが判明する
638,fall on,当たる
639,make oneself at home,くつろぐ
640,help oneself to,～を自由にとって食べる
641,bring up,育てる
642,call for,～を必要とする
643,be sensitive to,敏感である
644,stay away from,～に近づかない
645,get through with,やり遂げる
646,end up with,～で終わる
647,be hard on,～につらく当たる
648,at first,最初は
649,have every reason to,～するのも当然だ
650,hold one`s tongue,黙る
651,die of,死ぬ
652,give in to,屈する
653,set about,始める
654,correspond with,一致する
655,have one`s own way,自分の思い通りにする
656,resort to,訴える
657,on the contrary,それどころか
658,to the point,要領を得て
659,bound for,～行きの
660,by way of,～経由で
661,blame A for B,BのことでAを責める
662,scold A for B,BのことでAを叱る
663,hand in,提出する
664,equip A with B,AにBを備え付ける
665,next to,ほとんど
666,have one`s own way,自分の思い通りにする
667,hope for,望む
668,keep company with,交際する
669,have faith in,信用する
670,keep ~ to oneself,秘密にしておく
671,take leave of,別れを告げる
672,right away,すぐに
673,discourage O from ~ing,Oが～するのを思いとどまらせる
674,run for,立候補する
675,sooner or later,遅かれ早かれ
676,come to light,明らかになる
677,make believe to,～するふりをする
678,in favor of,～に賛成して
679,seek for,探す
680,be suitable for,適している
681,against one`s will,～の意志に反して
682,how come ~ ?,どうして～なのか
683,stand up for,支持する
684,be indifferent to,無関心である
685,for all ~,～にもかかわらず
686,be eager for~,熱望している
687,by far,ずば抜けて
688,second to none,右に出るものはない
689,be curious about,知りたいと思う
690,make oneself understood,～自身を理解してもらう
691,be equivalent to,～に等しい
692,attribute A to B,AをBのせいにする
693,in detail,詳しく
694,face to face,面と向かって
695,in effect,実際は
696,be at home in,精通している
697,leave ~ behind,置き忘れる
698,order A from B,AをBに注文する
699,in a minute,すぐに
700,be grateful to A for B,BについてAに感謝する
701,know better than to,～するほど馬鹿ではない
702,put forth,出す
703,out of sight,見えないところに
704,all of a sudden,突然
705,come true,実現する
706,in the long run,結局は
707,for the life of,どうしても
708,go bankrupt,破産する
709,by the way,ところで
710,lay off,解雇する
711,for a rainy day,まさかの時に備えて
712,in honor of,～に敬意を表して
713,congratulate A on B,BのことでAを祝う
714,see nothing of,まったく見かけない
715,become of,～はどうなるのだろうか
716,there is something ~ about,～にはどこか～なところがある
717,beyond words,言葉では言い表せない
718,apologize to A for B,BのことでAに謝る
719,send for,～を呼びにやる
720,forgive A for B,Bに対してAを許す
721,warm A of B,BをAに警告する
722,on the ground that,～という理由で
723,keep to,従う
724,have had enough of,～はもうたくさんである
725,eat up,食べつくす
726,gain weight,体重が増える
727,for sure,確かに
728,be envious of,うらやむ
729,speak out,思い切って意見を言う
730,in public,公然と
731,once and for all,きっぱりと
732,make sense,意味を成す
733,ring up,電話を掛ける
734,hang up,電話を切る
735,hold on,電話を切らないでおく
736,something of,ちょっとした
737,behind the times,時代遅れの
738,adjust oneself to,適応する
739,before long,やがて
740,up to,～次第で
741,be confident of,確信している
742,help A with B,AのBを手伝う
743,in earnest,熱心に
744,arrange for,手配する
745,in one`s place,～の代わりに
746,be particular about,～について好みがうるさい
747,try on,試着する
748,keep away from,～から離れている
749,get rid of,取り除く
750,blow up,爆発する
751,on the go,活動中で
752,make for,役立つ
753,bring oneself to,～する気になる
754,count on,頼る
755,let ~ down,がっかりさせる
756,tell off,叱る
757,run into,偶然出会う
758,remember A to B,BにAのことをよろしくと伝える
759,take turns in ~ ing,交代で～する
760,put away,片づける
761,in the way,邪魔になって
762,take on,引き受ける
763,regardless of,～に関係なく
764,between ourselves,内緒にして
765,keep early hours,早寝早起きする
766,take it easy,気楽にやる
767,lose one`s temper,かんしゃくを起こす
768,be occupied with,～で忙しい
769,ask a favor of,お願いする
